Match,Outcome,Market,Old,New,% Drop,Time
Estonia - Meistriliiga,Kuressaare,Flora Tallinn,,,,1748358000000
Algeria - Ligue 1,MC El Bayadh,CS Constantine,1.490,8.110,3.630,1748361600000
